año,mes,tipo,trab
2018,4,construcción,1673021
2018,5,construcción,1685429
2018,6,construcción,1689103
2018,7,construcción,1712692
2018,8,construcción,1735685
2018,9,construcción,1736242
2018,10,construcción,1747574
2018,11,construcción,1713162
2018,12,construcción,1587298
2019,1,construcción,1630994
2019,2,construcción,1647187
2019,3,construcción,1637929
2019,4,construcción,1643034
2019,5,construcción,1650181
2019,6,construcción,1654411
2019,7,construcción,1673959
2019,8,construcción,1676120
2019,9,construcción,1685435
2019,10,construcción,1707133
2019,11,construcción,1695281
2019,12,construcción,1574128
2020,1,construcción,1608317
2020,2,construcción,1626535
2020,3,construcción,1593621
2020,4,construcción,1396466
2000,1,total,12034095
2000,2,total,12158433
2000,3,total,12258841
2000,4,total,12254009
2000,5,total,12345063
2000,6,total,12405558
2000,7,total,12494633
2000,8,total,12554723
2000,9,total,12605656
2000,10,total,12724493
2000,11,total,12777514
2000,12,total,12437760
2001,1,total,12525949
2001,2,total,12559358
2001,3,total,12530250
2001,4,total,12534173
2001,5,total,12505105
2001,6,total,12418906
2001,7,total,12416576
2001,8,total,12406096
2001,9,total,12358665
2001,10,total,12423519
2001,11,total,12451466
2001,12,total,12170945
2002,1,total,12195513
2002,2,total,12275211
2002,3,total,12221087
2002,4,total,12352690
2002,5,total,12338063
2002,6,total,12288156
2002,7,total,12368684
2002,8,total,12340462
2002,9,total,12400521
2002,10,total,12457620
2002,11,total,12472617
2002,12,total,12232301
2003,1,total,12269469
2003,2,total,12321596
2003,3,total,12348257
2003,4,total,12337553
2003,5,total,12269056
2003,6,total,12270626
2003,7,total,12270143
2003,8,total,12229764
2003,9,total,12323341
2003,10,total,12427371
2003,11,total,12462714
2003,12,total,12257581
2004,1,total,12294000
2004,2,total,12351665
2004,3,total,12478529
2004,4,total,12505272
2004,5,total,12495167
2004,6,total,12515338
2004,7,total,12550854
2004,8,total,12597254
2004,9,total,12683727
2004,10,total,12737398
2004,11,total,12871388
2004,12,total,12632877
2005,1,total,12697125
2005,2,total,12788890
2005,3,total,12799019
2005,4,total,12852756
2005,5,total,12884166
2005,6,total,12911021
2005,7,total,12904401
2005,8,total,13014610
2005,9,total,13114254
2005,10,total,13234501
2005,11,total,13327162
2005,12,total,13061565
2006,1,total,13174495
2006,2,total,13285285
2006,3,total,13392387
2006,4,total,13402509
2006,5,total,13486515
2006,6,total,13550640
2006,7,total,13604538
2006,8,total,13676931
2006,9,total,13756687
2006,10,total,13894328
2006,11,total,13981314
2006,12,total,13678492
2007,1,total,13794601
2007,2,total,13908701
2007,3,total,13973905
2007,4,total,14043649
2007,5,total,14072151
2007,6,total,14089092
2007,7,total,14156216
2007,8,total,14224297
2007,9,total,14283377
2007,10,total,14441717
2007,11,total,14539497
2007,12,total,14207706
2008,1,total,14315318
2008,2,total,14396101
2008,3,total,14400376
2008,4,total,14480066
2008,5,total,14443848
2008,6,total,14472908
2008,7,total,14483011
2008,8,total,14460993
2008,9,total,14526347
2008,10,total,14564570
2008,11,total,14505253
2008,12,total,14178117
2009,1,total,14073102
2009,2,total,14026501
2009,3,total,14039826
2009,4,total,13979608
2009,5,total,13868132
2009,6,total,13871175
2009,7,total,13887498
2009,8,total,13918843
2009,9,total,13992494
2009,10,total,14073749
2009,11,total,14192197
2009,12,total,14006404
2010,1,total,14076279
2010,2,total,14204647
2010,3,total,14341056
2010,4,total,14408942
2010,5,total,14433952
2010,6,total,14480255
2010,7,total,14518395
2010,8,total,14593979
2010,9,total,14701487
2010,10,total,14829981
2010,11,total,14965625
2010,12,total,14738783
2011,1,total,14787440
2011,2,total,14893818
2011,3,total,15003502
2011,4,total,15022588
2011,5,total,15050810
2011,6,total,15090360
2011,7,total,15131332
2011,8,total,15202180
2011,9,total,15315651
2011,10,total,15445527
2011,11,total,15550167
2011,12,total,15350335
2012,1,total,15427859
2012,2,total,15563594
2012,3,total,15695679
2012,4,total,15706159
2012,5,total,15731556
2012,6,total,15806830
2012,7,total,15849227
2012,8,total,15920256
2012,9,total,16033095
2012,10,total,16182408
2012,11,total,16294936
2012,12,total,16062043
2013,1,total,16106212
2013,2,total,16227085
2013,3,total,16281079
2013,4,total,16347973
2013,5,total,16354902
2013,6,total,16357421
2013,7,total,16362732
2013,8,total,16414905
2013,9,total,16508845
2013,10,total,16652436
2013,11,total,16772971
2013,12,total,16525061
2014,1,total,16547040
2014,2,total,16672599
2014,3,total,16781325
2014,4,total,16837367
2014,5,total,16885220
2014,6,total,16928515
2014,7,total,16965972
2014,8,total,17023661
2014,9,total,17180093
2014,10,total,17352227
2014,11,total,17475077
2014,12,total,17239587
2015,1,total,17299371
2015,2,total,17433062
2015,3,total,17538198
2015,4,total,17603315
2015,5,total,17595860
2015,6,total,17674295
2015,7,total,17718986
2015,8,total,17791345
2015,9,total,17908989
2015,10,total,18055468
2015,11,total,18187747
2015,12,total,17884033
2016,1,total,17953203
2016,2,total,18095494
2016,3,total,18154906
2016,4,total,18237468
2016,5,total,18257802
2016,6,total,18326071
2016,7,total,18348131
2016,8,total,18466227
2016,9,total,18626402
2016,10,total,18797954
2016,11,total,18935841
2016,12,total,18616624
2017,1,total,18699916
2017,2,total,18853971
2017,3,total,18994318
2017,4,total,19021083
2017,5,total,19047825
2017,6,total,19134058
2017,7,total,19172222
2017,8,total,19292865
2017,9,total,19428916
2017,10,total,19623674
2017,11,total,19755991
2017,12,total,19418455
2018,1,total,19532177
2018,2,total,19696488
2018,3,total,19786997
2018,4,total,19874106
2018,5,total,19908072
2018,6,total,19894575
2018,7,total,19949244
2018,8,total,20063433
2018,9,total,20192960
2018,10,total,20356179
2018,11,total,20457926
2018,12,total,20079365
2019,1,total,20174011
2019,2,total,20299993
2019,3,total,20348508
2019,4,total,20378927
2019,5,total,20382910
2019,6,total,20368666
2019,7,total,20385379
2019,8,total,20422010
2019,9,total,20567426
2019,10,total,20727424
2019,11,total,20803652
2019,12,total,20421442
2020,1,total,20490397
2020,2,total,20613536
2020,3,total,20482943
2020,4,total,19927696
2020,5,total,19583170
2020,5,construcción,1364218
2020,6,total,19499859
2020,6,construcción,1462271
